stock-code,reference-price,celling-price,floor-price,price,volume,total-volume,total-value,highest-price,lowest-price,average-price
SD6,0.0,3.8,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD9,0.0,11.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDA,0.0,5.7,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDC,0.0,7.5,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDG,0.0,17.9,19.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDN,0.0,29.5,32.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDU,0.0,19.6,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEB,0.0,47.2,51.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SED,0.0,21.6,23.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SFN,0.0,21.7,23.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SGC,0.0,81.5,89.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SGD,0.0,9.8,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SGH,0.0,26.6,29.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHE,0.0,9.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHN,0.0,6.8,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHS,0.0,19.4,21.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJ1,0.0,11.8,12.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJE,0.0,20.7,22.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLS,0.0,161.8,177.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMN,0.0,12.4,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMT,0.0,6.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPC,0.0,8.6,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPI,0.0,2.4,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRA,0.0,3.5,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSM,0.0,6.1,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STC,0.0,18.3,20.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STP,0.0,10.1,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVN,0.0,3.5,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZB,0.0,42.8,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TA9,0.0,14.1,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAR,0.0,5.7,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TBX,0.0,22.3,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC6,0.0,10.4,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TDN,0.0,11.2,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TDT,0.0,7.6,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TET,0.0,28.6,31.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TFC,0.0,12.3,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THB,0.0,11.8,12.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THD,0.0,35.6,39.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THS,0.0,11.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THT,0.0,13.5,14.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIG,0.0,14.7,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TJC,0.0,16.2,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TKG,0.0,5.8,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TKU,0.0,14.9,16.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMB,0.0,70.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,0.0,9.3,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMX,0.0,7.5,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNG,0.0,25.2,27.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOT,0.0,19.6,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TPH,0.0,15.4,16.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TPP,0.0,10.7,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSB,0.0,49.6,54.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTC,0.0,11.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTH,0.0,4.4,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTL,0.0,8.2,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTT,0.0,34.1,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TV3,0.0,12.7,13.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TV4,0.0,13.2,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TVC,0.0,9.6,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TVD,0.0,13.9,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXM,0.0,5.9,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNI,0.0,8.8,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V12,0.0,12.2,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V21,0.0,6.9,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VBC,0.0,22.5,24.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC1,0.0,8.1,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC2,0.0,9.1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC3,0.0,30.6,33.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC6,0.0,18.0,19.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC7,0.0,12.6,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC9,0.0,4.4,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCC,0.0,10.5,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCM,0.0,16.5,18.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,0.0,70.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VDL,0.0,14.1,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VE1,0.0,2.9,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VE3,0.0,9.1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VE4,0.0,259.4,285.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VE8,0.0,4.9,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VFS,0.0,19.3,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VGP,0.0,24.0,26.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VGS,0.0,31.7,34.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VHE,0.0,3.6,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VHL,0.0,11.4,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIF,0.0,16.3,17.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,0.0,7.4,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIT,0.0,17.9,19.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VLA,0.0,16.6,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,0.0,8.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMS,0.0,26.9,29.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNC,0.0,38.5,42.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNF,0.0,9.2,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNR,0.0,24.1,26.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNT,0.0,50.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VSA,0.0,26.1,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VSM,0.0,16.8,18.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VTC,0.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VTH,0.0,8.1,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VTJ,0.0,3.5,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VTV,0.0,6.2,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VTZ,0.0,8.6,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WCS,0.0,195.0,214.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSS,0.0,5.6,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
