stock-code,reference-price,celling-price,floor-price,price,volume,total-volume,total-value,highest-price,lowest-price,average-price,create-at
HBS,0.0,8.0,8.8,0.0,8.0,1.0,3.3,0.0,8.1,7.9,2024-05-21 10:35:37.360127
HCC,0.0,10.9,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:35:38.167240
HCT,0.0,9.8,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:35:38.668209
HDA,0.0,4.0,4.4,0.0,4.0,0.3,1.8,0.0,4.1,3.9,2024-05-21 10:35:39.191579
HEV,0.0,30.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:35:39.674244
HGM,0.0,55.0,60.5,0.0,55.0,0.1,0.8,0.0,55.0,54.8,2024-05-21 10:35:40.057537
HHC,0.0,80.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:35:40.603391
HJS,0.0,33.5,36.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:35:41.642790
HKT,0.0,4.2,4.6,0.0,4.2,0.1,0.1,0.0,4.2,4.2,2024-05-21 10:35:42.290798
HLC,0.0,13.3,14.6,-0.2,13.1,0.8,3.5,0.0,13.2,13.1,2024-05-21 10:35:42.717835
HLD,0.0,26.0,28.6,-0.2,25.8,0.1,12.7,0.0,26.0,25.4,2024-05-21 10:35:43.205275
HMH,0.0,14.9,16.3,0.1,15.0,0.1,0.2,0.0,15.0,14.8,2024-05-21 10:35:43.676716
HMR,0.0,29.9,32.8,0.5,30.4,1.0,18.3,0.0,30.6,30.3,2024-05-21 10:35:44.342977
HOM,0.0,4.0,4.4,0.0,4.0,1.0,1.4,0.0,4.0,3.9,2024-05-21 10:35:44.776616
HTC,0.0,25.5,28.0,-2.4,23.1,0.1,1.6,0.0,28.0,23.1,2024-05-21 10:35:45.280993
HTP,0.0,13.0,14.3,0.1,13.1,0.4,22.8,0.0,13.3,13.0,2024-05-21 10:35:45.796620
HUT,0.0,17.5,19.2,-0.1,17.4,0.9,660.3,0.0,17.6,17.4,2024-05-21 10:35:46.692206
HVT,0.0,69.1,76.0,6.9,76.0,0.1,11.7,0.0,76.0,69.2,2024-05-21 10:35:47.284671
ICG,0.0,7.4,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:35:47.749156
IDC,0.0,62.7,68.9,-0.5,62.2,0.1,685.4,0.0,62.8,61.9,2024-05-21 10:35:48.476018
IDJ,0.0,6.6,7.2,0.1,6.7,4.2,1950.4,0.0,6.8,6.4,2024-05-21 10:35:48.980956
IDV,0.0,38.1,41.9,-0.8,37.3,0.4,9.8,0.0,38.1,37.1,2024-05-21 10:35:49.512238
INC,0.0,19.6,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:35:50.539410
INN,0.0,50.9,55.9,0.0,50.9,0.1,0.1,0.0,50.9,50.9,2024-05-21 10:35:51.012745
IPA,0.0,14.7,16.1,0.3,15.0,0.1,104.7,0.0,15.1,14.7,2024-05-21 10:35:51.484496
ITQ,0.0,3.4,3.7,-0.1,3.3,0.1,48.8,0.0,3.4,3.3,2024-05-21 10:35:52.244147
IVS,0.0,12.0,13.2,-0.1,11.9,4.2,167.8,0.0,12.0,11.7,2024-05-21 10:35:52.749043
KDM,0.0,18.8,20.6,0.0,18.8,0.1,0.3,0.0,18.8,17.7,2024-05-21 10:35:57.008171
KHS,0.0,11.0,12.1,-1.0,10.0,0.1,0.1,0.0,10.0,10.0,2024-05-21 10:35:57.524411
KKC,0.0,6.5,7.1,0.3,6.8,0.1,0.1,0.0,6.8,6.8,2024-05-21 10:35:58.128510
KST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:35:58.807966
KSV,0.0,35.9,39.4,-0.8,35.1,0.1,6.9,0.0,36.2,35.1,2024-05-21 10:35:59.332894
KTS,0.0,41.8,45.9,0.0,41.8,0.5,2.0,0.0,42.0,41.8,2024-05-21 10:35:59.817111
KTT,0.0,3.6,3.9,-0.1,3.5,0.1,0.5,0.0,3.5,3.4,2024-05-21 10:36:00.374207
L14,0.0,38.6,42.4,-0.2,38.4,0.5,58.2,0.0,39.5,38.3,2024-05-21 10:36:00.801337
L18,0.0,39.2,43.1,-0.3,38.9,0.1,16.6,0.0,39.3,38.8,2024-05-21 10:36:01.214954
L40,0.0,20.6,22.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:36:01.651067
L43,0.0,1.9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:36:02.531201
L62,0.0,1.9,2.0,0.0,1.9,0.7,1.0,0.0,1.9,1.9,2024-05-21 10:36:02.962685
LAS,0.0,22.0,24.2,0.0,22.0,0.1,360.9,0.0,22.2,21.7,2024-05-21 10:36:03.469929
LBE,0.0,26.5,29.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:36:04.236426
LCD,0.0,21.7,23.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:36:04.643322
